"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_central_control.csv -c -y -l -d -g -n -m --proc-count --top-cpu",,,,"Date:","19 Feb 2025 18:41:51 CST"
"total usage",,,,,"system",,"load avg",,,"dsk/total",,"paging",,"net/total",,"memory usage",,,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","dsk/total:read","dsk/total:writ","in","out","net/total:recv","net/total:send","used","free","buf","cach","scalestep","total","cmd","cpu"
,,,0.470,0.940,0.560,,,,,970328,21484528,48588,854456,10,260,
4.554,5.153,37.869,0.360,0,6387,1523,1.080,1.060,0.600,141.889,184.072,0,0,230.090,1464.904,970492,21484072,48620,854704,10,262,"gnome-shell",
5.004,3.693,30.140,0.596,0,5275,993,1.080,1.060,0.600,202.048,282.105,0,0,285.918,928.279,971888,21482220,48680,854996,10,262,"gnome-shell",
4.240,3.866,36.789,0.125,0,4817,1193,1.080,1.060,0.600,71.832,838.043,0,0,119.720,458.928,971640,21482360,48716,855080,10,262,"gnome-shell",8.605
4.402,4.118,46.576,1.136,0,5131,1286,1.080,1.060,0.600,81.793,1326.858,0,0,272.642,1190.537,971556,21482304,48752,855152,10,263,"gnome-shell",
3.534,3.786,45.057,0,0,5248,1364,1.080,1.060,0.600,72.698,157.511,0,0,121.163,642.162,971460,21482296,48784,855224,10,263,"gnome-shell",10.980
3.631,4.236,44.055,0.121,0,5683,1475,1.550,1.160,0.630,69.713,151.044,0,0,58.094,331.136,971100,21482548,48816,855296,10,263,"gnome-shell",10.287
3.771,4.148,44.878,0.251,0,5673,1461,1.550,1.160,0.630,72.408,156.883,0,0,697.928,1303.335,971492,21482044,48848,855368,10,263,"gnome-shell",9.554
2.865,3.985,45.210,0,0,5515,1448,1.550,1.160,0.630,71.738,155.432,0,0,179.345,751.255,971388,21482044,48880,855440,10,263,"gnome-shell",10.835
2.936,3.793,46.125,0,0,5505,1451,1.550,1.160,0.630,74.388,168.351,0,0,352.363,1053.174,971276,21482044,48912,855516,10,263,"gnome-shell",10.644
3.205,3.974,44.486,0,0,5312,1354,1.550,1.160,0.630,73.844,159.995,0,0,369.219,1103.555,971172,21482044,48944,855588,10,263,"gnome-shell",10.128
3.411,3.898,46.775,0,0,5770,1491,1.670,1.190,0.650,70.163,155.917,0,0,467.751,1278.520,971068,21482044,48976,855660,10,263,"gnome-shell",9.379
3.879,4.379,42.541,0,0,6031,1470,1.670,1.190,0.650,72.069,168.162,0,0,180.173,754.726,971964,21481036,49008,855732,10,263,"gnome-shell",
3.923,4.053,47.070,0,0,5460,1473,1.670,1.190,0.650,75.312,167.361,0,0,313.801,1035.543,971860,21481036,49040,855804,10,263,"gnome-shell",11.245
3.519,4.004,45.257,0.121,0,5535,1429,1.670,1.190,0.650,69.887,151.423,0,0,407.676,1158.965,972004,21480784,49072,855876,10,263,"gnome-shell",9.828
3.229,4.133,45.846,0,0,5482,1393,1.670,1.190,0.650,74.386,161.171,0,0,495.910,1355.487,971896,21480784,49104,855948,10,263,"gnome-shell",10.590
3.740,4.239,44.630,0,0,5681,1484,1.610,1.190,0.650,71.807,155.581,0,0,59.839,341.081,971792,21480784,49136,856020,10,263,"gnome-shell",11.095
4.106,3.744,42.267,0,0,5914,1527,1.610,1.190,0.650,69.559,150.712,0,0,231.864,826.981,971680,21480784,49168,856092,10,262,"gnome-shell",9.299
4.018,4.144,44.579,0.126,0,5567,1431,1.610,1.190,0.650,72.331,208.956,0,0,180.828,757.467,971824,21480532,49204,856160,10,263,"gnome-shell",
3.250,4.125,43.622,0,0,5439,1389,1.610,1.190,0.650,71.994,159.988,0,0,119.991,635.951,971712,21480532,49236,856236,10,263,"gnome-shell",11.374
4.186,3.805,43.505,0.254,0,5497,1427,1.610,1.190,0.650,73.058,158.292,0,0,304.409,988.313,971608,21480532,49268,856308,10,263,"gnome-shell",10.401
3.019,3.743,45.521,0,0,5527,1456,1.650,1.200,0.660,69.550,150.691,0,0,463.665,1267.350,971496,21480532,49300,856380,10,263,"gnome-shell",9.901
3.184,3.847,47.226,0,0,4967,1256,1.650,1.200,0.660,76.411,165.557,0,0,191.027,800.193,971392,21480532,49332,856452,10,263,"gnome-shell",11.011
4.644,4.278,37.643,0,0,5957,1496,1.650,1.200,0.660,70.398,152.528,0,0,469.318,1282.803,970292,21481528,49364,856524,10,263,"gnome-shell",9.166
3.580,3.826,42.831,0.123,0,5505,1402,1.650,1.200,0.660,71.098,161.945,0,0,296.240,1498.974,970436,21481276,49396,856596,10,263,"gnome-shell",10.245
3.653,4.157,45.606,0.126,0,5308,1362,1.650,1.200,0.660,72.566,165.289,0,0,302.358,981.657,970328,21481276,49428,856672,10,263,"gnome-shell",10.960
3.433,3.560,43.354,0,0,5204,1346,2,1.280,0.690,73.231,223.762,0,0,122.052,467.865,970220,21481276,49460,856744,10,263,"gnome-shell",10.552
4.317,3.700,41.072,0,0,5514,1322,2,1.280,0.690,63.150,2285.226,0,0,566.373,1045.915,970212,21481024,49508,856932,10,257,"gnome-shell",9.004
4.364,3.979,41.197,0.128,0,5314,1335,2,1.280,0.690,0,164.276,0,0,554.432,1468.219,970160,21481024,49540,856932,10,257,"gnome-shell",8.470
3.504,3.746,44.466,0.121,0,5526,1498,2,1.280,0.690,0,150.797,0,0,463.989,1268.238,970128,21481024,49572,856932,10,257,"gnome-shell",10.754
