"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_central_memory.csv -c -y -l -d -g -n -m --proc-count --top-cpu",,,,"Date:","18 Feb 2025 15:56:44 CST"
"total usage",,,,,"system",,"load avg",,,"dsk/total",,"paging",,"net/total",,"memory usage",,,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","dsk/total:read","dsk/total:writ","in","out","net/total:recv","net/total:send","used","free","buf","cach","scalestep","total","cmd","cpu"
,,,4.120,14.250,8.140,,,,,3097192,19258044,69336,920424,10,273,
9.064,0.709,2.937,0,0,3510,546,5.070,14.280,8.190,0,0,0,0,48.612,724.312,3097180,19258044,69336,920436,10,273,"stress-ng-memra",11.039,"missed 2 ticks"
4.009,0.436,1.656,0,0,1058,187,5.070,14.280,8.190,0,0,0,0,83.669,476.914,3097420,19257804,69336,920436,10,273,"stress-ng-memra",11.069
14.050,1.033,12.397,0,0,1356,214,5.070,14.280,8.190,0,0,0,0,99.178,485.971,3101516,19253708,69336,920436,10,274,"stress-ng-memra",
23.440,3.138,7.567,0,0,2288,275,5.070,14.280,8.190,0,0,0,0,265.775,1727.538,3117900,19237324,69336,920436,10,274,"stress-ng-memra",5.906
1.081,0,0.961,0,0,431,139,5.070,14.280,8.190,0,0,0,0,172.935,908.871,3117900,19237324,69336,920436,10,274,"stress-ng-memra",14.171
2.972,0.330,1.321,0,0,695,123,5.390,14.190,8.190,0,0,0,0,105.664,630.460,3117900,19237324,69336,920436,10,274,"stress-ng-memra",11.447
27.347,1.731,10.212,0,0,2608,315,5.390,14.190,8.190,0,44.309,0,0,166.159,880.644,3117896,19237324,69344,920432,10,274,"stress-ng-memra",8.827
2.932,0.391,1.955,0,0,1090,222,5.390,14.190,8.190,0,0,0,0,187.673,756.949,3117892,19237324,69344,920436,10,274,"stress-ng-memra",11.339
11.040,0.390,10.910,0,0,1471,247,5.390,14.190,8.190,0,0,0,0,311.711,1178.268,3117892,19237324,69344,920436,10,274,"stress-ng-memra",11.559
7.798,0.609,3.412,0,0,1286,187,5.390,14.190,8.190,0,0,0,0,325.579,662.855,3117892,19237324,69344,920436,10,274,"stress-ng-memra",10.479
32.252,1.943,10.492,0,0,2828,326,5.680,14.100,8.200,0,0,0,0,373.032,1479.694,3117892,19237324,69344,920436,10,274,"stress-ng-memra",8.937
4.322,0.374,1.387,0,0,1671,279,5.680,14.100,8.200,0,18.784,0,0,76.842,362.864,3117892,19237324,69344,920436,10,274,"stress-ng-memra",11.366
37.128,2.264,16.300,0,0,1574,205,5.680,14.100,8.200,0,57.955,0,0,217.333,1064.931,3117892,19237324,69352,920428,10,274,"stress-ng-memra",7.244
11.385,1.320,2.310,0,0,1196,182,5.680,14.100,8.200,0,0,0,0,237.598,1565.509,3117404,19237804,69352,920436,10,274,"stress-ng-memra",9.900
15.974,2.349,4.228,0,0,2302,370,5.680,14.100,8.200,0,0,0,0,225.511,1185.184,3124060,19231148,69352,920436,10,274,"stress-ng-memra",10.649
5.725,0.436,1.182,0,0,1567,216,5.540,13.940,8.170,0,0,0,0,29.870,265.840,3116688,19238520,69352,920436,10,274,"stress-ng-memra",6.596
22.838,2.196,9.223,0,0,1176,203,5.540,13.940,8.170,0,0,0,0,210.812,414.597,3112828,19242380,69352,920436,10,274,"stress-ng-memra",45.676
23.725,1.873,8.585,0,0,3039,434,5.540,13.940,8.170,0,0,0,0,566.905,1883.025,3109924,19245284,69352,920436,10,274,"stress-ng-memra",7.804
6.901,0.647,3.343,0,0,1584,229,5.540,13.940,8.170,0,0,0,0,103.522,562.472,3108080,19247128,69352,920436,10,274,"stress-ng-memra",10.891
13.669,0.968,4.839,0,0,2129,325,5.540,13.940,8.170,0,27.096,0,0,174.189,915.459,3107328,19247868,69360,920440,10,274,"stress-ng-memra",10.887
11.041,0.946,4.889,0,0,1613,263,6.300,13.950,8.210,0,0,0,0,151.414,822.682,3107548,19247616,69360,920468,10,274,"stress-ng-memra",9.621
3.937,0.219,1.859,0,0,819,140,6.300,13.950,8.210,0,0,0,0,157.484,827.665,3106924,19248240,69360,920468,10,274,"stress-ng-memra",11.921
18.672,1.334,4.268,0,0,2397,289,6.300,13.950,8.210,0,0,0,0,256.071,1971.744,3106756,19248408,69360,920468,10,274,"stress-ng-memra",9.869
23.537,1.405,6.850,0,0,2289,278,6.300,13.950,8.210,0,0,0,0,252.935,1194.417,3106756,19248408,69360,920468,10,274,"stress-ng-memra",10.012
29.622,2.863,8.214,0,0,3913,460,6.300,13.950,8.210,0,127.448,0,0,59.741,531.696,3112656,19242508,69360,920468,10,274,"stress-ng-memra",7.965
4.200,0.400,2.100,0,0,1118,220,7.400,14.050,8.270,0,16.000,0,0,144.003,756.815,3110128,19245028,69368,920468,10,274,"stress-ng-memra",11.800
