"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_flatcg_cache.csv -c -y -l -d -g -n -m --proc-count --top-cpu",,,,"Date:","18 Feb 2025 16:03:59 CST"
"total usage",,,,,"system",,"load avg",,,"dsk/total",,"paging",,"net/total",,"memory usage",,,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","dsk/total:read","dsk/total:writ","in","out","net/total:recv","net/total:send","used","free","buf","cach","scalestep","total","cmd","cpu"
,,,22.380,24.580,14.470,,,,,1006036,21347548,69884,921436,10,265,
27.687,0.873,50.012,0,0,4538,462,22.380,24.580,14.470,0,0,0,0,393.113,2061.347,1006636,21346940,69888,921440,10,265,"stress-ng-cache",12.347
21.989,0.116,49.679,0,0,3975,231,22.380,24.580,14.470,0,0,0,0,55.846,497.027,1006876,21346700,69888,921440,10,265,"stress-ng-cache",8.493
30.314,1.064,36.297,0,0,4171,349,22.380,24.580,14.470,0,0,0,0,127.638,1050.888,1006876,21346700,69888,921440,10,265,"stress-ng-cache",11.035
39.221,0.883,23.078,0,0,4411,354,22.380,24.580,14.470,0,0,0,0,60.533,538.746,1007336,21346208,69888,921472,10,265,"stress-ng-cache",11.981
38.734,0.377,45.399,0.252,0,5206,318,21.220,24.310,14.440,0,48.292,0,0,120.729,1010.103,1007328,21346208,69896,921472,10,265,"stress-ng-cache",9.055
22.238,0.745,30.810,0,0,3639,308,21.220,24.310,14.440,0,0,0,0,59.633,530.732,1007568,21345968,69896,921472,10,265,"stress-ng-cache",10.933
24.906,0.855,22.098,0,0,3421,335,21.220,24.310,14.440,0,0,0,0,117.205,980.617,1007568,21345968,69896,921472,10,265,"stress-ng-cache",10.988
38.665,1.021,23.352,0,0,4414,307,21.220,24.310,14.440,0,0,0,0,61.251,545.136,1007568,21345968,69896,921472,10,265,"stress-ng-cache",11.612
