"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_flatcg_control.csv -c -y -l -d -g -n -m --proc-count --top-cpu",,,,"Date:","19 Feb 2025 18:44:44 CST"
"total usage",,,,,"system",,"load avg",,,"dsk/total",,"paging",,"net/total",,"memory usage",,,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","dsk/total:read","dsk/total:writ","in","out","net/total:recv","net/total:send","used","free","buf","cach","scalestep","total","cmd","cpu"
,,,2.290,2.250,1.190,,,,,985044,21441336,50232,880876,10,258,
2.084,3.432,82.611,0,0,2960,4148,2.290,2.250,1.190,3.922,35.300,0,0,176.498,1555.139,984916,21441448,50244,880880,10,258,"Xorg",9.928
2.494,3.617,82.433,0,0,3238,3889,2.290,2.250,1.190,0,3.991,0,0,59.860,341.204,985296,21441068,50244,880880,10,258,"Xorg",9.727
2.415,3.559,83.379,0,0,2833,3864,2.190,2.230,1.190,0,0,0,0,122.018,825.653,985000,21441324,50244,880920,10,258,"Xorg",10.041
1.871,3.492,82.302,0,0,2930,3750,2.190,2.230,1.190,0,0,0,0,119.712,442.935,985000,21441324,50244,880920,10,258,"Xorg",9.851
3.107,3.480,82.906,0,0,2942,4046,2.190,2.230,1.190,0,0,0,0,119.326,791.526,985240,21441084,50244,880920,10,258,"Xorg",9.695
1.763,3.526,82.862,0,0,2875,3861,2.190,2.230,1.190,0,40.298,0,0,60.447,328.426,985232,21441084,50252,880920,10,258,"Xorg",9.823
2.766,3.395,83.497,0,0,2907,3959,2.190,2.230,1.190,0,0,0,0,120.719,816.865,985232,21441084,50252,880920,10,258,"Xorg",9.808
2.438,3.535,82.393,0,0,2927,3787,2.090,2.210,1.190,0,0,0,0,58.504,317.872,984980,21441336,50252,880920,10,258,"Xorg",9.751
2.745,3.868,81.600,0,0,2869,3782,2.090,2.210,1.190,0,0,0,0,119.780,794.538,984980,21441336,50252,880920,10,258,"Xorg",9.982
2.433,4.354,83.241,0,0,3008,3780,2.090,2.210,1.190,0,0,0,0,61.471,333.990,985232,21441084,50252,880920,10,258,"gnome-shell",10.629
2.508,3.135,83.386,0,0,2920,3875,2.090,2.210,1.190,0,0,0,0,120.377,798.500,984976,21441340,50252,880920,10,258,"Xorg",10.031
2.606,3.599,82.284,0.124,0,2971,3906,2.090,2.210,1.190,0,11.914,0,0,59.572,323.673,985216,21441100,50260,880912,10,258,"gnome-shell",9.805
2.015,3.526,82.869,0,0,3096,3914,2.010,2.190,1.190,0,0,0,0,120.902,818.107,984944,21441364,50260,880920,10,258,"Xorg",9.823
2.244,3.366,83.164,0,0,2798,3827,2.010,2.190,1.190,0,0,0,0,59.848,325.174,984944,21441364,50260,880920,10,258,"Xorg",9.850
2.005,3.509,82.827,0,0,2781,3809,2.010,2.190,1.190,0,0,0,0,120.293,797.943,985196,21441112,50260,880920,10,258,"gnome-shell",10.024
3.119,3.244,82.975,0,0,2901,3960,2.010,2.190,1.190,0,0,0,0,59.892,325.412,984920,21441388,50260,880920,10,258,"Xorg",9.857
2.253,3.755,83.109,0,0,2977,3914,2.010,2.190,1.190,0,0,0,0,120.158,867.141,984920,21441388,50260,880920,10,258,"Xorg",9.888
2.122,3.870,81.762,0.125,0,3022,3928,1.850,2.150,1.180,7.989,11.983,0,0,59.917,325.549,984920,21441388,50268,880912,10,258,"Xorg",9.612
2.255,3.382,83.424,0,0,2744,3962,1.850,2.150,1.180,0,0,0,0,394.824,915.912,985360,21440932,50268,880928,10,258,"Xorg",9.896
2.459,3.689,82.257,0,0,3169,3930,1.850,2.150,1.180,0,0,0,0,59.019,320.668,985100,21441192,50268,880928,10,258,"gnome-shell",10.205
2.147,3.158,83.623,0,0,2786,3888,1.850,2.150,1.180,0,0,0,0,121.266,804.397,985100,21441192,50268,880928,10,258,"Xorg",10.105
2.341,3.943,81.826,0,0,2882,3885,1.850,2.150,1.180,0,0,0,0,59.152,321.390,985100,21441192,50268,880928,10,258,"gnome-shell",10.598
1.761,3.900,82.530,0,0,2778,3852,1.780,2.130,1.180,0,0,0,0,559.596,901.795,985340,21440952,50268,880928,10,258,"gnome-shell",10.568
2.648,3.656,81.570,0.252,0,2992,3790,1.780,2.130,1.180,0,32.275,0,0,121.032,980.358,985328,21440952,50276,880928,10,258,"Xorg",9.708
2.357,3.969,82.851,0,0,3022,3862,1.780,2.130,1.180,0,0,0,0,390.937,996.195,985328,21440952,50276,880928,10,258,"Xorg",9.798
2.232,3.596,82.220,0,0,2869,4011,1.780,2.130,1.180,0,3.968,0,0,59.526,323.425,985328,21440952,50276,880928,10,258,"Xorg",9.797
2.679,3.699,82.664,0,0,2878,3824,1.780,2.130,1.180,0,0,0,0,122.465,1026.665,985324,21440952,50276,880932,10,258,"gnome-shell",9.823
2.249,3.374,82.724,0,0,3073,3899,1.710,2.120,1.180,0,0,0,0,59.981,325.897,985324,21440952,50276,880932,10,258,"Xorg",9.872
2.605,3.721,83.229,0,0,2842,3898,1.710,2.120,1.180,0,3.969,0,0,119.076,789.873,985324,21440952,50276,880932,10,258,"Xorg",9.923
2.262,3.142,82.449,0.251,0,2789,3860,1.710,2.120,1.180,0,16.088,0,0,60.329,343.874,985316,21440952,50284,880932,10,257,"gnome-shell",9.552
2.480,3.472,82.830,0,0,2825,3804,1.710,2.120,1.180,0,0,0,0,119.038,805.488,985316,21440952,50284,880932,10,257,"Xorg",9.796
2.609,3.603,82.618,0,0,3171,4023,1.710,2.120,1.180,0,67.586,0,0,59.634,324.013,985316,21440952,50284,880932,10,257,"Xorg",9.815
1.649,3.679,83.223,0,0,3038,3866,1.740,2.110,1.180,0,52.775,0,0,121.790,824.109,985316,21440952,50284,880932,10,257,"Xorg",9.895
2.500,3.375,82.742,0,0,2945,3910,1.740,2.110,1.180,0,0,0,0,59.994,341.968,985316,21440952,50284,880932,10,257,"Xorg",9.749
2.131,3.761,82.742,0,0,2815,3747,1.740,2.110,1.180,0,0,0,0,120.351,798.330,985316,21440952,50284,880932,10,257,"Xorg",9.653
2.501,3.502,83.291,0,0,3136,3896,1.740,2.110,1.180,0,32.016,0,0,60.030,326.160,985308,21440952,50292,880932,10,257,"Xorg",9.880
2.113,3.728,81.902,0,0,2873,3860,1.740,2.110,1.180,0,0,0,0,119.311,807.337,985308,21440952,50292,880932,10,257,"gnome-shell",10.191
2.983,3.853,81.790,0,0,3007,3695,1.680,2.090,1.180,0,0,0,0,59.664,324.175,985308,21440952,50292,880932,10,257,"gnome-shell",11.436
2.383,3.638,82.414,0,0,2896,3789,1.680,2.090,1.180,0,0,0,0,120.423,798.803,985308,21440952,50292,880932,10,257,"gnome-shell",9.910
2.886,3.388,83.064,0,0,3050,3838,1.680,2.090,1.180,0,0,0,0,60.228,417.578,985308,21440952,50292,880932,10,257,"Xorg",9.787
2.129,3.757,82.648,0,0,2859,3907,1.680,2.090,1.180,0,0,0,0,120.215,797.425,985308,21440952,50292,880932,10,257,"gnome-shell",9.893
2.364,3.235,82.868,0,0,2999,3885,1.680,2.090,1.180,0,15.927,0,0,59.724,324.502,985544,21440708,50300,880932,10,257,"Xorg",9.954
1.860,3.721,83.591,0,0,2952,4009,1.540,2.060,1.180,0,0,0,0,178.591,922.721,985288,21440964,50300,880932,10,257,"Xorg",9.922
2.009,3.139,81.866,0,0,2749,3830,1.540,2.060,1.180,0,0,0,0,60.270,327.465,985288,21440964,50300,880932,10,257,"gnome-shell",9.919
2.350,3.835,82.882,0,0,2888,3855,1.540,2.060,1.180,0,0,0,0,118.756,787.748,985288,21440964,50300,880932,10,257,"Xorg",9.773
2.616,3.488,82.724,0,0,2916,3863,1.540,2.060,1.180,0,0,0,0,59.801,324.918,985288,21440964,50300,880932,10,257,"Xorg",9.718
2.428,3.451,83.204,0,0,2756,3711,1.540,2.060,1.180,0,0,0,0,122.698,1370.125,985288,21440964,50300,880932,10,257,"Xorg",9.714
2.631,3.633,82.312,0,0,3014,3905,1.500,2.040,1.180,0,200.455,0,0,60.136,326.742,985288,21440964,50308,880924,10,257,"Xorg",9.772
