"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_flatcg_memory.csv -c -y -l -d -g -n -m --proc-count --top-cpu",,,,"Date:","18 Feb 2025 16:02:46 CST"
"total usage",,,,,"system",,"load avg",,,"dsk/total",,"paging",,"net/total",,"memory usage",,,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","dsk/total:read","dsk/total:writ","in","out","net/total:recv","net/total:send","used","free","buf","cach","scalestep","total","cmd","cpu"
,,,62.810,29.620,15.100,,,,,3116944,19236792,69788,921412,10,278,
23.675,0.868,0,0,0,2150,295,62.810,29.620,15.100,0,0,0,0,118.995,1947.544,3116940,19236792,69788,921416,10,278,"stress-ng-memra",12.147
20.003,1.098,7.806,0,0,1820,210,62.810,29.620,15.100,0,42.933,0,0,58.546,505.444,3116932,19236792,69796,921416,10,278,"stress-ng-memra",12.197
27.592,1.295,0,0,0,2356,244,58.740,29.330,15.080,0,58.035,0,0,124.360,1040.477,3116932,19236792,69796,921416,10,278,"stress-ng-memra",12.306
30.782,1.091,0,0,0,2716,170,58.740,29.330,15.080,0,0,0,0,58.170,517.712,3116932,19236792,69796,921416,10,278,"stress-ng-memra",12.482
21.820,0.798,0,0,0,1795,193,58.740,29.330,15.080,0,0,0,0,127.724,1051.595,3116932,19236792,69796,921416,10,278,"stress-ng-memra",12.240
28.396,1.088,0,0,0,2548,197,58.740,29.330,15.080,0,0,0,0,58.001,500.738,3116932,19236792,69796,921416,10,278,"stress-ng-memra",12.325
41.438,1.942,0.259,0,0,3495,324,58.740,29.330,15.080,0,0,0,0,1206.885,1705.178,3116932,19236792,69796,921416,10,278,"stress-ng-memra",12.431
5.690,0.847,0,0,0,559,102,54.760,28.990,15.050,0,7.748,0,0,58.108,501.662,3129220,19224504,69800,921412,10,278,"stress-ng-memra",12.227
44.393,1.668,0.128,0,0,3934,218,54.760,28.990,15.050,0,4.106,0,0,123.171,1030.529,3137404,19216312,69804,921416,10,278,"stress-ng-memra",12.317
6.527,0.484,0,0,0,580,105,54.760,28.990,15.050,0,0,0,0,58.021,516.383,3137404,19216312,69804,921416,10,278,"stress-ng-memra",12.571
23.673,0.800,0,0,0,3804,236,54.760,28.990,15.050,0,0,0,0,64.018,527.083,3137404,19216312,69804,921416,10,278,"stress-ng-memra",12.404
64.785,7.198,0,1.200,0,641,70,54.760,28.990,15.050,0,0,0,0,575.868,4971.660,3137404,19216312,69804,921416,10,278,"stress-ng-memra",11.997
27.390,0.727,0,0,0,2416,199,51.010,28.640,15.010,0,0,0,0,174.523,1072.346,3137404,19216312,69804,921416,10,278,"stress-ng-memra",12.362
40.186,1.658,0,0,0,3369,344,51.010,28.640,15.010,0,12.247,0,0,61.236,528.673,3137396,19216312,69812,921416,10,278,"stress-ng-memra",12.120
9.807,0.509,0,0,0,837,137,51.010,28.640,15.010,0,0,0,0,122.274,1023.023,3135644,19218064,69812,921416,10,278,"stress-ng-memra",12.482
34.078,0.746,0,0,0,2908,165,51.010,28.640,15.010,0,0,0,0,59.698,515.394,3133088,19220620,69812,921416,10,278,"stress-ng-memra",12.437
35.862,1.849,0,0,0,3198,320,51.010,28.640,15.010,0,0,0,0,118.308,974.070,3131024,19222640,69812,921460,10,278,"stress-ng-memra",12.201
11.674,0.761,0,0,0,1037,139,47.490,28.290,14.970,0,0,0,0,60.909,525.846,3128080,19225584,69812,921460,10,278,"stress-ng-memra",12.436
31.068,2.151,0,0,0,2862,269,47.490,28.290,14.970,0,0,0,0,114.711,944.452,3128216,19225448,69812,921460,10,278,"stress-ng-memra",12.308
31.520,1.297,0.259,0,0,2802,244,47.490,28.290,14.970,0,24.905,0,0,62.262,537.526,3122956,19230700,69820,921460,10,278,"stress-ng-memra",12.193
20.971,0.802,0,0,0,1914,186,47.490,28.290,14.970,0,0,0,0,110.012,920.430,3114300,19239356,69820,921460,10,278,"stress-ng-memra",12.376
29.106,0.966,0,0,0,2246,237,47.490,28.290,14.970,0,0,0,0,66.212,571.630,3111616,19242040,69820,921460,10,278,"stress-ng-memra",12.277
19.291,0.971,0,0,0,1798,164,44.410,27.960,14.930,0,0,0,0,116.475,958.981,3111036,19242620,69820,921460,10,277,"stress-ng-memra",12.254
20.793,0.669,0,0,0,3421,238,44.410,27.960,14.930,0,0,0,0,32.092,764.866,3111040,19242616,69824,921456,10,277,"stress-ng-memra",12.503
57.703,6.295,0,0,0,604,97,44.410,27.960,14.930,0,268.583,0,0,1007.188,4935.220,3111032,19242616,69828,921460,10,277,"gnome-shell",11.541
35.033,1.122,0,0,0,3099,199,44.410,27.960,14.930,0,0,0,0,392.969,1150.980,3111028,19242616,69828,921464,10,277,"stress-ng-memra",12.467
39.240,1.282,0,0,0,3323,231,44.410,27.960,14.930,0,4.103,0,0,123.105,1013.562,3111028,19242616,69828,921464,10,277,"stress-ng-memra",12.439
7.923,0.252,0,0,0,714,119,41.650,27.670,14.910,0,0,0,0,60.363,537.230,3111028,19242616,69828,921464,10,277,"stress-ng-memra",12.450
40.366,2.389,0,0,0,3599,250,41.650,27.670,14.910,0,132.792,0,0,120.720,993.927,3108752,19244892,69828,921464,10,277,"stress-ng-memra",12.323
22.230,0.725,0.846,0,0,1943,164,41.650,27.670,14.910,0,0,0,0,57.992,516.131,3108752,19244892,69828,921464,10,277,"stress-ng-memra",12.323
18.452,1.371,0,0,0,1629,212,41.650,27.670,14.910,0,19.948,0,0,119.689,1001.400,3108744,19244892,69836,921464,10,277,"stress-ng-memra",12.218
33.450,1.014,0.253,0,0,2762,183,41.650,27.670,14.910,0,0,0,0,60.818,541.284,3108744,19244892,69836,921464,10,277,"stress-ng-memra",12.290
