"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_nest_affinity.csv -c -y -l -d -g -n -m --proc-count --top-cpu",,,,"Date:","18 Feb 2025 16:06:59 CST"
"total usage",,,,,"system",,"load avg",,,"dsk/total",,"paging",,"net/total",,"memory usage",,,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","dsk/total:read","dsk/total:writ","in","out","net/total:recv","net/total:send","used","free","buf","cach","scalestep","total","cmd","cpu"
,,,16.030,18.030,13.570,,,,,1007728,21344904,70112,922200,10,385,
5.238,36.293,25.318,0,0,5722,393855,16.030,18.030,13.570,0,0,0,0,512.836,2616.063,1007724,21344904,70112,922204,10,385,"migration/5",3.742
4.381,37.177,25.160,0,0,5671,411427,16.030,18.030,13.570,0,0,0,0,60.084,534.745,1007724,21344904,70112,922204,10,385,"migration/1",4.006
4.351,36.676,23.746,0,0,5679,416038,16.030,18.030,13.570,0,0,0,0,119.352,1316.847,1007724,21344904,70112,922204,10,385,"migration/1",4.103
4.402,37.858,23.016,0,0,5707,441177,16.030,18.030,13.570,0,44.272,0,0,60.371,537.301,1008176,21344400,70120,922240,10,385,"migration/3",4.025
4.993,37.947,23.967,0,0,5772,398550,27.320,20.340,14.340,0,0,0,0,119.833,1322.153,1008176,21344400,70120,922240,10,385,"migration/1",4.244
4.236,36.501,22.798,0,0,5419,417809,27.320,20.340,14.340,0,0,0,0,59.797,532.193,1008176,21344400,70120,922240,10,385,"migration/1",3.862
4.763,37.227,22.687,0,0,5506,428194,27.320,20.340,14.340,0,0,0,0,120.328,1327.623,1008176,21344400,70120,922240,10,385,"migration/5",4.136
4.120,36.584,23.224,0,0,5500,422921,27.320,20.340,14.340,0,0,0,0,59.933,533.404,1008176,21344400,70120,922240,10,385,"migration/1",3.871
4.245,39.082,23.225,0,0,5875,420021,27.320,20.340,14.340,0,15.983,0,0,119.869,1322.557,1008176,21344400,70128,922232,10,385,"migration/5",3.996
4.638,40.743,22.691,0,0,5841,431223,37.140,22.490,15.070,0,60.174,0,0,60.174,535.552,1006756,21345812,70128,922240,10,385,"migration/1",4.012
4.495,39.460,22.977,0,0,5729,423987,37.140,22.490,15.070,0,0,0,0,119.879,1322.660,1006420,21346148,70128,922240,10,385,"migration/3",4.121
4.763,36.728,24.193,0,0,5576,412770,37.140,22.490,15.070,0,0,0,0,60.169,535.508,1006420,21346148,70128,922240,10,385,"migration/3",3.886
4.252,38.640,23.759,0,0,5764,406433,37.140,22.490,15.070,0,0,0,0,180.070,1442.558,1006420,21346148,70128,922240,10,385,"migration/5",4.127
5.000,39.126,23.251,0,0,5857,413647,37.140,22.490,15.070,0,0,0,0,60.002,534.019,1006420,21346148,70128,922240,10,385,"migration/3",3.875
4.590,39.327,22.827,0,0,5841,421536,40.970,23.530,15.450,0,11.910,0,0,450.581,1516.492,1006420,21346148,70136,922232,10,385,"migration/5",4.218
4.897,38.171,23.732,0,0,5708,388225,40.970,23.530,15.450,0,0,0,0,60.271,536.410,1006412,21346148,70136,922240,10,385,"migration/1",4.018
5.130,38.409,23.521,0,0,5760,411355,40.970,23.530,15.450,0,0,0,0,120.106,1325.166,1006412,21346148,70136,922240,10,385,"migration/5",4.004
4.882,37.307,23.787,0,0,5565,383225,40.970,23.530,15.450,0,0,0,0,60.092,534.821,1006412,21346148,70136,922240,10,385,"migration/5",4.006
4.494,40.448,23.220,0,0,5886,417110,40.970,23.530,15.450,0,0,0,0,119.846,1322.305,1006412,21346148,70136,922240,10,385,"migration/1",3.995
4.759,38.324,25.299,0,0,5721,367280,48.980,25.480,16.120,0,0,0,0,60.117,535.037,1006412,21346148,70136,922240,10,385,"migration/5",4.258
4.561,35.749,25.887,0,0,5557,365546,48.980,25.480,16.120,0,0,0,0,447.720,1522.641,1006412,21346148,70136,922240,10,385,"migration/1",3.821
4.552,40.459,22.885,0.126,0,5850,410270,48.980,25.480,16.120,0,12.138,0,0,60.689,540.128,1006404,21346148,70144,922240,10,385,"migration/3",4.046
4.234,36.863,23.164,0,0,5539,410518,48.980,25.480,16.120,0,0,0,0,59.778,532.021,1006404,21346148,70144,922240,10,385,"migration/4",3.861
5.019,38.268,23.212,0,0,5731,413488,48.980,25.480,16.120,0,0,0,0,180.675,2346.764,1006404,21346148,70144,922240,10,385,"migration/1",3.890
4.362,38.261,24.054,0,0,5638,381701,56.590,27.450,16.810,0,0,0,0,59.822,532.419,1006400,21346148,70144,922244,10,385,"migration/1",3.988
4.265,38.136,23.082,0,0,5734,412197,56.590,27.450,16.810,0,0,0,0,120.430,1328.743,1006400,21346148,70144,922244,10,385,"migration/4",3.889
4.364,38.530,22.445,0,0,5612,420538,56.590,27.450,16.810,0,0,0,0,59.853,532.688,1006400,21346148,70144,922244,10,385,"migration/4",4.240
5.021,37.158,23.852,0,0,5641,402811,56.590,27.450,16.810,0,16.068,0,0,120.513,1329.659,1006392,21346148,70152,922244,10,385,"migration/5",4.017
3.977,38.523,23.487,0,0,5560,404556,56.590,27.450,16.810,0,0,0,0,59.649,530.877,1006392,21346148,70152,922244,10,385,"migration/3",4.101
4.858,37.117,23.043,0.125,0,5574,414242,62.550,29.170,17.420,0,131.530,0,0,119.573,1319.289,1006392,21346148,70152,922244,10,385,"migration/3",4.110
4.521,38.302,22.102,0,0,5644,439644,62.550,29.170,17.420,0,8.037,0,0,60.279,536.485,1006392,21346148,70152,922244,10,385,"migration/3",4.144
4.644,38.788,23.222,0,0,5892,440183,62.550,29.170,17.420,0,0,0,0,120.505,1329.574,1006392,21346148,70152,922244,10,384,"migration/7",4.142
4.832,39.028,23.541,0,0,5863,428800,62.550,29.170,17.420,0,0,0,0,59.472,529.297,1006392,21346148,70152,922244,10,384,"migration/4",3.841
4.166,38.249,22.848,0,0,5561,427124,62.550,29.170,17.420,0,68.671,0,0,121.184,1337.068,1006384,21346148,70160,922244,10,384,"migration/2",3.913
4.498,38.856,22.114,0,0,5688,442177,69.870,31.240,18.160,0,0,0,0,119.942,651.685,1006384,21346148,70160,922244,10,384,"migration/2",3.998
4.338,38.301,23.055,0,0,5805,432285,69.870,31.240,18.160,0,0,0,0,118.993,1312.891,1006384,21346148,70160,922244,10,384,"migration/5",3.966
4.469,38.859,23.216,0,0,5770,427624,69.870,31.240,18.160,0,0,0,0,59.592,530.365,1006384,21346148,70160,922244,10,384,"migration/5",4.221
4.429,38.340,23.915,0,0,5590,405951,69.870,31.240,18.160,0,0,0,0,121.474,1340.268,1006384,21346148,70160,922244,10,384,"migration/5",4.049
4.616,36.557,25.078,0,0,5508,379133,69.870,31.240,18.160,0,0,0,0,333.379,634.817,1006384,21346148,70160,922244,10,384,"migration/5",3.993
4.618,37.447,23.716,0,0,5724,383238,75.010,32.950,18.780,0,27.960,0,0,393.440,1423.972,1006376,21346148,70168,922244,10,384,"migration/2",3.994
4.146,37.695,24.251,0,0,5586,407809,75.010,32.950,18.780,0,0,0,0,60.313,536.782,1006376,21346148,70168,922244,10,384,"migration/5",4.146
4.484,36.621,23.542,0,0,5491,374959,75.010,32.950,18.780,0,0,0,0,119.580,1319.367,1006376,21346148,70168,922244,10,384,"migration/4",3.986
4.512,37.096,22.809,0,0,5472,417145,75.010,32.950,18.780,0,0,0,0,60.156,535.384,1006376,21346148,70168,922244,10,384,"migration/5",4.136
4.885,37.077,24.175,0,0,5550,395126,75.010,32.950,18.780,0,0,0,0,180.374,1428.966,1006376,21346148,70168,922244,10,384,"migration/1",3.883
4.124,35.618,23.995,0,0,5363,400913,76.370,33.930,19.170,0,0,0,0,59.988,533.891,1006376,21346148,70168,922244,10,384,"migration/4",3.999
4.500,36.249,23.999,0,0,5548,384415,76.370,33.930,19.170,0,31.999,0,0,119.997,1323.963,1006376,21346148,70168,922244,10,384,"migration/4",4.000
4.855,37.720,22.532,0.124,0,5762,420663,76.370,33.930,19.170,0,11.951,0,0,119.509,1541.662,1006368,21346148,70176,922244,10,384,"migration/1",3.984
4.396,37.305,24.493,0,0,5669,395997,76.370,33.930,19.170,0,0,0,0,120.581,1330.409,1006368,21346148,70176,922244,10,384,"migration/5",4.271
3.998,36.607,23.488,0,0,5395,396889,76.370,33.930,19.170,0,0,0,0,193.902,593.700,1006368,21346148,70176,922244,10,384,"migration/3",4.248
4.620,38.081,23.098,0,0,5675,415131,80.020,35.390,19.730,0,0,0,0,179.792,1440.330,1006368,21346148,70176,922244,10,384,"migration/3",3.995
4.637,39.226,23.686,0,0,5750,398298,80.020,35.390,19.730,0,0,0,0,60.155,535.380,1006368,21346148,70176,922244,10,384,"migration/6",4.010
4.704,37.010,24.880,0,0,5590,383868,80.020,35.390,19.730,0,0,0,0,118.828,1326.915,1006368,21346148,70176,922244,10,384,"migration/3",4.085
3.912,37.984,23.850,0.126,0,5694,374389,80.020,35.390,19.730,0,16.152,0,0,195.849,599.661,1006360,21346148,70184,922244,10,384,"migration/5",4.164
4.825,39.715,23.755,0,0,5949,396559,80.020,35.390,19.730,0,0,0,0,945.237,1918.188,1006356,21346148,70184,922248,10,384,"migration/5",4.083
4.916,37.563,24.202,0,0,5502,364008,85.870,37.340,20.440,0,0,0,0,195.630,598.991,1006356,21346148,70184,922248,10,384,"migration/4",4.034
4.369,38.947,23.967,0,0,5769,378074,85.870,37.340,20.440,0,0,0,0,179.754,1440.029,1006596,21345908,70184,922248,10,384,"migration/3",3.870
4.873,35.737,24.616,0,0,5481,356554,85.870,37.340,20.440,0,0,0,0,333.874,635.761,1006596,21345908,70184,922248,10,384,"migration/3",4.123
3.887,39.124,24.076,0,0,5763,393537,85.870,37.340,20.440,0,0,0,0,375.190,1625.154,1006596,21345908,70184,922248,10,384,"migration/5",4.264
4.383,28.805,36.320,0,0,5475,248642,85.870,37.340,20.440,0,16.031,0,0,180.347,1027.978,954164,21398336,70192,889148,10,255,"migration/7",3.131
0,0.125,98.730,0,0,1609,130,78.990,36.720,20.330,0,0,0,0,119.673,1336.351,954164,21398336,70192,889148,10,255,
