"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_nest_control.csv -c -y -l -d -g -n -m --proc-count --top-cpu",,,,"Date:","19 Feb 2025 18:46:45 CST"
"total usage",,,,,"system",,"load avg",,,"dsk/total",,"paging",,"net/total",,"memory usage",,,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","dsk/total:read","dsk/total:writ","in","out","net/total:recv","net/total:send","used","free","buf","cach","scalestep","total","cmd","cpu"
,,,1.160,1.830,1.170,,,,,988164,21437420,50348,881536,10,257,
3.997,4.844,77.146,0.121,0,4184,3761,1.160,1.830,1.170,3.875,0,0,0,174.397,1862.170,988116,21437420,50352,881580,10,257,"gnome-shell",12.474
3.988,4.889,77.447,0,0,3779,3334,1.140,1.820,1.170,0,0,0,0,61.751,351.983,988116,21437420,50352,881580,10,257,"gnome-shell",13.251
3.444,4.674,77.605,0,0,4048,3709,1.140,1.820,1.170,0,39.356,0,0,118.068,1113.779,988108,21437420,50360,881580,10,257,"gnome-shell",13.406
3.017,5.532,76.185,0,0,3717,3443,1.140,1.820,1.170,0,0,0,0,335.919,446.551,988108,21437420,50360,881580,10,257,"gnome-shell",14.709
3.741,5.113,75.697,0,0,3656,3387,1.140,1.820,1.170,0,0,0,0,119.718,1129.343,988108,21437420,50360,881580,10,257,"gnome-shell",14.965
3.038,4.684,77.227,0,0,3556,3280,1.140,1.820,1.170,0,0,0,0,60.769,330.179,988108,21437420,50360,881580,10,257,"gnome-shell",13.420
3.257,4.510,76.671,0,0,3710,3449,1.130,1.810,1.170,0,0,0,0,120.269,1134.535,988108,21437420,50360,881580,10,257,"gnome-shell",12.904
2.952,5.659,76.024,0,0,3873,3371,1.130,1.810,1.170,0,0,0,0,59.048,320.828,988108,21437420,50360,881580,10,257,"gnome-shell",14.762
3.287,4.424,77.996,0,0,3776,3326,1.130,1.810,1.170,0,0,0,0,121.355,1144.781,988108,21437420,50360,881580,10,257,"gnome-shell",13.147
3.244,5.115,76.480,0,0,3806,3533,1.130,1.810,1.170,0,15.970,0,0,59.887,325.385,988100,21437420,50368,881580,10,257,"gnome-shell",14.223
3.580,4.691,77.275,0,0,3885,3416,1.130,1.810,1.170,0,0,0,0,118.504,1133.692,988184,21437336,50368,881580,10,257,"gnome-shell",12.715
3.637,4.641,76.634,0,0,3867,3474,1.040,1.780,1.160,0,0,0,0,60.203,327.105,988184,21437336,50368,881580,10,257,"gnome-shell",14.047
2.733,4.970,77.776,0,0,3838,3492,1.040,1.780,1.160,0,0,0,0,119.273,1125.138,988184,21437336,50368,881580,10,257,"gnome-shell",13.915
3.198,4.477,77.638,0,0,3656,3444,1.040,1.780,1.160,0,0,0,0,61.394,333.574,988184,21437336,50368,881580,10,257,"gnome-shell",13.046
3.370,4.369,78.268,0,0,3578,3590,1.040,1.780,1.160,0,0,0,0,393.464,1232.320,988184,21437336,50368,881580,10,257,"gnome-shell",12.233
3.472,4.340,77.880,0,0,3847,3674,1.040,1.780,1.160,0,0,0,0,59.526,323.425,988184,21437336,50368,881580,10,257,"gnome-shell",13.269
3.377,4.628,77.292,0.125,0,3726,3340,1.280,1.810,1.180,0,12.007,0,0,120.065,1132.616,988176,21437336,50376,881580,10,257,"gnome-shell",13.507
3.267,4.523,77.643,0,0,3700,3468,1.280,1.810,1.180,0,0,0,0,60.305,343.739,988176,21437336,50376,881580,10,257,"gnome-shell",13.443
3.222,4.832,76.575,0,0,3796,3484,1.280,1.810,1.180,0,0,0,0,118.951,1122.107,988176,21437336,50376,881580,10,257,"gnome-shell",14.002
3.420,4.180,78.917,0,0,3546,3488,1.280,1.810,1.180,0,0,0,0,60.803,330.362,988176,21437336,50376,881580,10,257,"gnome-shell",12.667
3.446,5.292,75.693,0,0,3754,3533,1.280,1.810,1.180,0,0,0,0,118.155,1114.598,988176,21437336,50376,881580,10,257,"gnome-shell",14.523
3.148,5.037,76.689,0,0,3634,3438,1.260,1.800,1.170,0,0,0,0,60.445,328.416,988176,21437336,50376,881580,10,257,"gnome-shell",14.482
3.727,4.720,76.395,0,0,3839,3392,1.260,1.800,1.170,0,11.925,0,0,119.250,1124.926,988168,21437336,50384,881580,10,257,"gnome-shell",13.913
3.402,5.292,76.476,0,0,3740,3357,1.260,1.800,1.170,0,0,0,0,181.425,1098.629,988168,21437336,50384,881580,10,257,"gnome-shell",14.615
3.455,4.565,77.481,0,0,3939,3510,1.260,1.800,1.170,0,0,0,0,118.442,1117.299,988168,21437336,50384,881580,10,257,"gnome-shell",13.695
3.273,4.532,77.297,0,0,3686,3380,1.260,1.800,1.170,0,0,0,0,60.428,328.325,988164,21437336,50384,881584,10,257,"gnome-shell",12.463
4.378,4.878,74.294,0,0,3859,3317,1.240,1.790,1.170,0,0,0,0,120.071,1132.669,988164,21437336,50384,881584,10,254,"gnome-shell",15.259
2.652,4.546,77.148,0,0,3525,3343,1.240,1.790,1.170,0,4.040,0,0,60.607,329.297,988164,21437336,50384,881584,10,254,"gnome-shell",13.510
3.633,5.011,76.425,0,0,3700,3494,1.240,1.790,1.170,0,0,0,0,120.275,1150.628,988404,21437096,50384,881584,10,254,"gnome-shell",14.157
2.692,4.772,76.958,0,0,3591,3386,1.240,1.790,1.170,0,15.661,0,0,58.728,319.086,988396,21437096,50392,881584,10,254,"gnome-shell",13.581
3.501,5.001,77.023,0,0,3774,3593,1.240,1.790,1.170,0,0,0,0,120.035,1148.339,988396,21437096,50392,881584,10,254,"gnome-shell",14.129
