"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_nest_matrix.csv -c -y -l -d -g -n -m --proc-count --top-cpu",,,,"Date:","18 Feb 2025 16:05:28 CST"
"total usage",,,,,"system",,"load avg",,,"dsk/total",,"paging",,"net/total",,"memory usage",,,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","dsk/total:read","dsk/total:writ","in","out","net/total:recv","net/total:send","used","free","buf","cach","scalestep","total","cmd","cpu"
,,,8.060,19.620,13.620,,,,,996552,21356240,70016,922092,10,264,
16.802,0.460,0,0,0,2429,170,7.410,19.290,13.540,0,0,0,0,36.827,917.000,996800,21355988,70016,922096,10,264,"stress-ng-matri",12.276
56.461,2.016,0,0,0,1948,173,7.410,19.290,13.540,0,118.299,0,0,1059.314,3747.927,996800,21355988,70024,922088,10,264,"stress-ng-matri",12.771
17.354,0.856,0,0,0,2475,218,7.410,19.290,13.540,0,236.569,0,0,37.353,332.442,996792,21355988,70024,922096,10,265,"stress-ng-matri",
19.487,0.609,0,0,0,1794,141,7.410,19.290,13.540,0,11.692,0,0,175.384,1389.434,996792,21355988,70024,922096,10,265,"stress-ng-matri",12.179
70.226,2.150,0,0,0,2297,118,7.410,19.290,13.540,0,114.655,0,0,171.983,1530.645,996792,21355988,70024,922096,10,265,"stress-ng-matri",13.974
25.197,0.764,0,0,0,2233,137,7.620,19.140,13.520,0,0,0,0,122.168,1331.636,996792,21355988,70024,922096,10,265,"stress-ng-matri",12.599
23.471,0.497,0,0,0,2295,127,7.620,19.140,13.520,0,0,0,0,59.610,514.629,995332,21357448,70024,922096,10,265,"stress-ng-matri",12.543
15.608,0.461,0,0,0,2247,156,7.620,19.140,13.520,0,27.064,0,0,73.810,794.690,994136,21358644,70032,922088,10,265,"stress-ng-matri",12.455
63.454,1.952,0,0,0,2069,105,7.620,19.140,13.520,0,20.826,0,0,156.193,1390.122,993852,21358920,70032,922096,10,265,"stress-ng-matri",12.691
24.351,0.624,0,0,0,2213,118,7.620,19.140,13.520,0,0,0,0,119.883,1306.724,993624,21359148,70032,922096,10,265,"stress-ng-matri",12.613
15.075,0.314,0,0,0,2079,151,7.650,18.950,13.490,0,0,0,0,209.795,427.128,993624,21359148,70032,922096,10,265,"stress-ng-matri",7.930
24.291,0.751,0,0,0,2168,126,7.650,18.950,13.490,0,0,0,0,120.203,1294.184,993372,21359400,70032,922096,10,265,"stress-ng-matri",12.521
56.432,1.509,0,0,0,2026,125,7.650,18.950,13.490,0,0,0,0,144.852,1250.552,993372,21359400,70032,922096,10,265,"stress-ng-matri",30.177
24.381,0.754,0,0,0,2166,122,7.650,18.950,13.490,0,0,0,0,120.647,1298.966,993372,21359400,70032,922096,10,265,"stress-ng-matri",12.567
22.830,0.744,0,0,0,2057,140,7.650,18.950,13.490,0,11.911,0,0,59.556,514.164,993364,21359400,70040,922096,10,265,"stress-ng-matri",12.159
24.765,1.001,0,0,0,2138,151,7.920,18.820,13.480,0,0,0,0,120.075,1308.818,993364,21359400,70040,922096,10,265,"stress-ng-matri",12.633
14.395,0.231,0,0,0,2198,132,7.920,18.820,13.480,0,0,0,0,36.951,319.010,993364,21359400,70040,922096,10,265,"stress-ng-matri",12.471
57.727,1.290,0,0,0,1924,94,7.920,18.820,13.480,0,0,0,0,309.599,3333.348,993364,21359400,70040,922096,10,265,"stress-ng-matri",11.932
16.530,0.689,0,0,0,2433,171,7.920,18.820,13.480,0,0,0,0,36.734,317.138,993364,21359400,70040,922096,10,265,"stress-ng-matri",12.398
63.423,1.772,0,0,0,1925,131,7.920,18.820,13.480,0,0,0,0,340.144,3662.216,993364,21359400,70040,922096,10,265,"stress-ng-matri",13.110
16.151,0.776,0,0,0,2212,142,8.240,18.710,13.470,0,7.454,0,0,37.271,321.771,993356,21359400,70048,922096,10,265,"stress-ng-matri",12.501
