"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_nest_memory.csv -c -y -l -d -g -n -m --proc-count --top-cpu",,,,"Date:","18 Feb 2025 16:08:59 CST"
"total usage",,,,,"system",,"load avg",,,"dsk/total",,"paging",,"net/total",,"memory usage",,,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","dsk/total:read","dsk/total:writ","in","out","net/total:recv","net/total:send","used","free","buf","cach","scalestep","total","cmd","cpu"
,,,29.090,30.050,19.060,,,,,3112284,19240084,70232,922260,10,273,
16.049,1.783,0,0,0,1734,305,29.090,30.050,19.060,0,0,0,0,57.063,1420.880,3128664,19223700,70232,922264,10,273,"stress-ng-memra",11.888
38.536,2.375,0,0,0,3398,333,29.090,30.050,19.060,0,54.900,0,0,126.693,1397.843,3128664,19223700,70240,922256,10,273,"stress-ng-memra",11.745
6.590,0.497,0,0,0,575,119,29.090,30.050,19.060,0,0,0,0,59.685,531.198,3128900,19223448,70240,922268,10,273,"stress-ng-memra",12.434
33.301,1.362,0,0,0,2907,253,29.090,30.050,19.060,0,0,0,0,118.843,1311.239,3129348,19222968,70240,922300,10,273,"stress-ng-memra",12.380
38.621,1.912,0,0,0,3281,230,27.480,29.700,19.010,0,0,0,0,61.182,528.209,3129348,19222968,70240,922300,10,273,"stress-ng-memra",12.491
11.277,0.475,0,0,0,978,139,27.480,29.700,19.010,0,0,0,0,113.962,1257.379,3129348,19222968,70240,922300,10,273,"stress-ng-memra",12.346
42.440,1.432,0,0,0,3649,215,27.480,29.700,19.010,0,0,0,0,202.045,601.968,3129348,19222968,70240,922300,10,273,"stress-ng-memra",12.628
21.611,1.374,0,0,0,1833,218,27.480,29.700,19.010,0,31.980,0,0,119.925,1323.169,3129340,19222968,70248,922300,10,273,"stress-ng-memra",12.242
31.654,1.213,0,0,0,2842,241,27.480,29.700,19.010,0,0,0,0,58.214,518.101,3129340,19222968,70248,922300,10,273,"stress-ng-memra",12.492
30.558,1.113,0.124,0,0,2721,205,26,29.360,18.950,0,0,0,0,118.766,1310.390,3129340,19222968,70248,922300,10,273,"stress-ng-memra",12.372
22.712,1.575,0,0,0,2048,214,26,29.360,18.950,0,0,0,0,63.017,544.043,3145724,19206584,70248,922300,10,273,"stress-ng-memra",12.472
35.471,1.749,0,0,0,3010,278,26,29.360,18.950,0,0,0,0,119.901,1322.904,3145724,19206584,70248,922300,10,273,"stress-ng-memra",12.365
34.248,1.264,0,0,0,2972,237,26,29.360,18.950,0,0,0,0,60.660,523.701,3145724,19206584,70248,922300,10,273,"stress-ng-memra",12.258
17.498,0.709,0,0,0,1644,125,26,29.360,18.950,0,11.350,0,0,113.500,1252.288,3145724,19206584,70256,922292,10,273,"stress-ng-memra",12.296
22.154,0.912,0,0,0,1882,156,24.640,29.020,18.900,0,0,0,0,62.553,556.720,3144260,19208044,70256,922296,10,273,"stress-ng-memra",12.771
29.028,0.851,0,0,0,3371,254,24.640,29.020,18.900,0,0,0,0,252.647,1046.894,3140764,19211536,70256,922300,10,273,"stress-ng-memra",12.197
30.181,1.258,0,0,0,1856,167,24.640,29.020,18.900,0,0,0,0,566.245,1037.637,3138104,19214196,70256,922300,10,273,"stress-ng-memra",12.396
18.120,0.638,0,0,0,1732,152,24.640,29.020,18.900,0,0,0,0,122.500,1351.586,3135556,19216744,70256,922300,10,273,"stress-ng-memra",12.505
32.548,1.118,0,0,0,2741,228,24.640,29.020,18.900,0,0,0,0,59.629,514.800,3133364,19218936,70256,922300,10,273,"stress-ng-memra",12.299
38.911,1.642,0,0,0,3414,215,23.310,28.670,18.840,0,8.085,0,0,121.281,1338.130,3131484,19220816,70264,922292,10,273,"stress-ng-memra",12.254
