"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_simple_affinity.csv -c -y -l -d -g -n -m --proc-count --top-cpu",,,,"Date:","18 Feb 2025 16:14:10 CST"
"total usage",,,,,"system",,"load avg",,,"dsk/total",,"paging",,"net/total",,"memory usage",,,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","dsk/total:read","dsk/total:writ","in","out","net/total:recv","net/total:send","used","free","buf","cach","scalestep","total","cmd","cpu"
,,,5.070,13.480,14.890,,,,,1012204,21337536,70608,924464,10,384,
4.975,39.799,20.894,0,0,5985,496937,5.070,13.480,14.890,0,0,0,0,119.396,1619.810,1013584,21336136,70608,924508,10,384,"migration/5",4.104
4.623,39.737,21.243,0,0,5838,465390,5.070,13.480,14.890,0,0,0,0,393.872,769.749,1013584,21336136,70608,924508,10,384,"migration/5",4.124
4.642,38.642,24.089,0,0,5726,404614,5.070,13.480,14.890,0,0,0,0,120.443,670.467,1013584,21336136,70608,924508,10,384,"migration/5",4.015
4.127,38.018,21.886,0,0,5579,437523,14.910,15.380,15.500,0,0,0,0,120.058,668.325,1013584,21336136,70608,924508,10,384,"migration/5",4.377
4.871,37.220,23.106,0,0,5498,390698,14.910,15.380,15.500,0,0,0,0,119.904,667.465,1013584,21336136,70608,924508,10,384,"migration/1",3.747
4.482,37.350,24.153,0,0,5613,384956,14.910,15.380,15.500,0,39.840,0,0,119.521,665.335,1013824,21335884,70616,924508,10,384,"migration/7",3.984
4.380,37.797,21.652,0,0,5561,424390,14.910,15.380,15.500,0,4.005,0,0,180.224,786.980,1013824,21335884,70616,924508,10,384,"migration/1",3.755
5.269,37.008,24.839,0,0,5488,373778,14.910,15.380,15.500,0,0,0,0,120.432,670.404,1013824,21335884,70616,924508,10,384,"migration/3",3.889
5.243,36.698,23.716,0,0,5415,380560,21.570,16.750,15.940,0,0,0,0,119.829,667.048,1013824,21335884,70616,924508,10,384,"migration/2",3.994
4.504,38.030,23.268,0,0,5541,406358,21.570,16.750,15.940,0,0,0,0,120.095,668.528,1013824,21335884,70616,924508,10,384,"migration/1",3.878
4.504,36.782,23.520,0,0,5421,404102,21.570,16.750,15.940,0,0,0,0,120.103,668.574,1013824,21335884,70616,924508,10,384,"migration/5",4.129
4.375,37.628,23.127,0,0,5563,416293,21.570,16.750,15.940,0,20.002,0,0,120.010,668.058,1013820,21335884,70624,924504,10,384,"migration/5",4.000
4.747,38.101,22.735,0,0,5781,432689,21.570,16.750,15.940,0,0,0,0,119.923,667.574,1012528,21337172,70624,924508,10,384,"migration/2",4.122
4.362,36.267,24.427,0,0,5448,357512,30.250,18.630,16.560,0,0,0,0,119.645,666.023,1012528,21337172,70624,924508,10,384,"migration/5",3.988
5.003,35.395,23.888,0,0,5287,356452,30.250,18.630,16.560,0,0,0,0,120.067,668.370,1012528,21337172,70624,924508,10,384,"migration/7",4.127
4.517,37.518,23.214,0,0,5600,404019,30.250,18.630,16.560,0,0,0,0,120.460,670.563,1012528,21337172,70624,924508,10,384,"migration/2",3.890
4.860,37.761,23.180,0,0,5595,412181,30.250,18.630,16.560,0,0,0,0,179.458,767.680,1012528,21337172,70624,924508,10,384,"migration/5",4.113
4.988,36.540,23.321,0,0,5465,387286,30.250,18.630,16.560,0,11.972,0,0,119.723,666.458,1012520,21337172,70632,924508,10,384,"migration/5",4.365
4.124,37.616,21.870,0,0,5599,445402,39.280,20.700,17.240,0,51.988,0,0,119.972,667.845,1012520,21337172,70632,924508,10,384,"migration/3",3.874
4.648,39.190,23.489,0,0,5741,400225,39.280,20.700,17.240,0,4.019,0,0,120.584,671.250,1012520,21337172,70632,924508,10,384,"migration/3",4.019
4.482,37.224,23.903,0,0,5488,396408,39.280,20.700,17.240,0,0,0,0,119.515,665.298,1012520,21337172,70632,924508,10,384,"migration/7",4.233
4.396,37.676,24.866,0,0,5581,360191,39.280,20.700,17.240,0,0,0,0,395.848,773.611,1012520,21337172,70632,924508,10,384,"migration/3",4.144
4.618,37.440,23.962,0,0,5582,366027,39.280,20.700,17.240,0,39.936,0,0,119.809,666.937,1012520,21337172,70632,924508,10,384,"migration/3",4.368
4.570,36.683,23.220,0,0,5489,407213,46.300,22.460,17.830,0,27.667,0,0,118.572,1545.384,1012516,21337172,70640,924504,10,384,"migration/7",4.076
5.057,36.284,24.274,0,0,5339,338601,46.300,22.460,17.830,0,0,0,0,121.370,675.624,1012508,21337172,70640,924512,10,384,"migration/7",4.046
4.382,37.559,25.790,0,0,5500,316002,46.300,22.460,17.830,0,0,0,0,120.188,669.049,1012508,21337172,70640,924512,10,384,"migration/3",4.131
5.245,37.716,24.353,0,0,5537,372674,46.300,22.460,17.830,0,0,0,0,119.893,667.404,1012508,21337172,70640,924512,10,384,"migration/7",3.996
4.346,37.379,22.725,0,0,5408,384660,46.300,22.460,17.830,0,0,0,0,119.215,663.629,1012508,21337172,70640,924512,10,384,"migration/1",3.850
