"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_simple_control.csv -c -y -l -d -g -n -m --proc-count --top-cpu",,,,"Date:","19 Feb 2025 18:47:54 CST"
"total usage",,,,,"system",,"load avg",,,"dsk/total",,"paging",,"net/total",,"memory usage",,,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","dsk/total:read","dsk/total:writ","in","out","net/total:recv","net/total:send","used","free","buf","cach","scalestep","total","cmd","cpu"
,,,1.180,1.700,1.170,,,,,986260,21438572,50448,882168,10,252,
2.172,3.378,82.769,0,0,2925,4025,1.180,1.700,1.170,0,0,0,0,173.744,1206.552,986260,21438568,50448,882172,10,252,"Xorg",9.773
2.712,3.617,83.310,0,0,2870,3913,1.180,1.700,1.170,0,0,0,0,123.997,475.322,986512,21438316,50448,882172,10,252,"Xorg",9.946
2.006,4.263,82.494,0,0,2898,3934,1.160,1.690,1.170,0,0,0,0,120.355,461.362,986764,21438064,50448,882172,10,252,"gnome-shell",10.406
2.126,3.126,82.905,0,0,3112,3933,1.160,1.690,1.170,0,0,0,0,120.044,460.168,986764,21438064,50448,882172,10,252,"Xorg",9.754
2.496,3.744,82.735,0,0,2920,3904,1.160,1.690,1.170,0,0,0,0,119.798,459.226,986764,21438064,50448,882172,10,252,"gnome-shell",9.983
2.605,3.101,82.984,0,0,2988,3974,1.160,1.690,1.170,0,0,0,0,119.081,456.475,986764,21438064,50448,882172,10,252,"Xorg",9.923
2.362,3.606,82.187,0.249,0,2906,3867,1.160,1.690,1.170,0,246.685,0,0,119.364,457.562,986756,21438064,50456,882172,10,252,"Xorg",9.698
2.145,3.659,82.762,0,0,2892,3981,1.150,1.680,1.170,0,0,0,0,121.115,480.424,986756,21438064,50456,882172,10,252,"Xorg",9.714
2.623,3.747,82.053,0,0,2897,3843,1.150,1.680,1.170,0,0,0,0,119.895,459.597,986756,21438064,50456,882172,10,252,"gnome-shell",9.991
2.231,3.222,83.281,0,0,2940,4150,1.150,1.680,1.170,0,0,0,0,118.973,456.062,986756,21438064,50456,882172,10,252,"Xorg",9.914
2.157,3.679,83.484,0,0,2754,3923,1.150,1.680,1.170,0,0,0,0,60.900,330.892,986756,21438064,50456,882172,10,252,"Xorg",9.896
2.031,3.464,83.146,0.119,0,2970,4042,1.150,1.680,1.170,0,30.582,0,0,172.026,567.686,986756,21438064,50464,882164,10,252,"Xorg",9.915
2.425,3.191,83.101,0,0,2766,3838,1.220,1.680,1.170,0,0,0,0,122.545,469.756,986756,21438064,50464,882164,10,252,"Xorg",9.957
