"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_spred-dl.csv -c -y -l --proc-count --top-cpu",,,,"Date:","09 Mar 2025 21:33:15 CDT"
"total usage",,,,,"system",,"load avg",,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","scalestep","total","cmd","cpu"
,,,0.140,0.140,0.100,10,254,
0.092,0,99.593,0,0,425,154,0.140,0.140,0.100,10,254,"pmcd",0.092
0.175,0,99.791,0,0,515,105,0.120,0.140,0.100,10,254,
0,0,98.638,0,0,219,66,0.120,0.140,0.100,10,254,
0,0,99.825,0,0,244,88,0.120,0.140,0.100,10,254,"pmdaproc",0.089
0,0,99.398,0.090,0,529,143,0.120,0.140,0.100,10,254,"dbus-daemon",0.090
0,0,98.961,0,0,99,39,0.120,0.140,0.100,10,254,"python3",0.593
0.876,0.376,96.032,0,0,998,377,0.120,0.140,0.100,10,254,"rt-app",2.254
0.798,0.399,95.791,0,0,1680,479,0.110,0.140,0.100,10,254,"rt-app",3.060
1.209,0.110,96.149,0,0,1910,506,0.110,0.140,0.100,10,254,"rt-app",2.747
1.428,0.143,94.707,0,0,1552,435,0.110,0.140,0.100,10,252,"rt-app",4.143
3.271,0,89.332,0.113,0,1864,474,0.110,0.140,0.100,10,252,"rt-app",9.136
4.697,0,88.681,0,0,1871,366,0.110,0.140,0.100,10,252,"rt-app",10.107
5.288,0,88.721,0,0,2345,468,0.180,0.150,0.100,10,252,"rt-app",10.223
2.741,0,92.017,0,0,2007,426,0.180,0.150,0.100,10,252,"rt-app",6.526
1.278,0.128,95.617,0,0,2456,472,0.180,0.150,0.100,10,252,"rt-app",3.068
1.124,0.125,95.937,0,0,1801,435,0.180,0.150,0.100,10,252,"rt-app",2.998
3.974,0,88.512,0.120,0,2200,427,0.180,0.150,0.100,10,252,"rt-app",10.236
2.810,0.108,87.213,0,0,1220,303,0.250,0.160,0.110,10,252,"rt-app",11.996
0.223,0,98.570,0.010,0,2737,727,0.210,0.160,0.100,10,252,"rt-app",1.212,"missed 13 ticks"
0,0.244,99.437,0,0,282,93,0.210,0.160,0.100,10,252,"pmdaproc",0.122
0,0.082,99.565,0,0,362,97,0.190,0.160,0.100,10,252,
0.133,0,99.344,0.019,0,1660,387,0.180,0.150,0.100,10,252,"rt-app",0.361,"missed 7 ticks"
3.445,0.313,82.689,0,0,1183,267,0.180,0.150,0.100,10,252,"rt-app",16.131
4.019,0,85.654,0.126,0,1511,348,0.180,0.150,0.100,10,252,"rt-app",13.438
2.684,0,91.380,0,0,1577,365,0.160,0.150,0.100,10,252,"rt-app",7.703
4.082,0,89.606,0,0,2067,474,0.160,0.150,0.100,10,252,"rt-app",9.524
3.515,0,90.987,0,0,1217,408,0.160,0.150,0.100,10,252,"rt-app",6.834
4.365,0.249,88.053,0,0,1764,404,0.160,0.150,0.100,10,252,"rt-app",10.975
4.380,0,89.354,0,0,1886,406,0.160,0.150,0.100,10,252,"rt-app",9.761
1.214,0,94.947,0,0,913,304,0.150,0.150,0.100,10,252,"rt-app",4.388
0.050,0,99.674,0,0,836,280,0.140,0.140,0.100,10,252,"rt-app",0.126,"missed 5 ticks"
0.030,0.059,99.340,0.059,0,1150,495,0.130,0.140,0.100,10,253,"rt-app",,"missed 4 ticks"
0,0,99.174,0,0,133,65,0.130,0.140,0.100,10,253,"rt-app",0.528
0.125,0.125,99.463,0,0,362,102,0.130,0.140,0.100,10,253,"pmdaproc",0.125
0.126,0.126,99.478,0,0,209,88,0.130,0.140,0.100,10,253,"pmdaproc",0.126
0.124,0,97.964,0.124,0,432,212,0.130,0.140,0.100,10,253,"rt-app",1.610
1.635,0.126,93.569,0,0,1256,311,0.130,0.140,0.100,10,253,"rt-app",5.408
3.260,0,91.144,0,0,1956,430,0.120,0.140,0.100,10,253,"rt-app",7.773
1.499,0.125,95.411,0,0,2040,501,0.120,0.140,0.100,10,253,"rt-app",3.247
0.875,0,95.448,0,0,2153,520,0.120,0.140,0.100,10,253,"rt-app",3.123
0.749,0.125,97.684,0,0,886,275,0.120,0.140,0.100,10,253,"rt-app",1.624
0.854,0,97.153,0.155,0,1494,341,0.110,0.140,0.100,10,250,"pmdaproc",0.078
