"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_spred-fifo.csv -c -y -l --proc-count --top-cpu",,,,"Date:","09 Mar 2025 21:27:23 CDT"
"total usage",,,,,"system",,"load avg",,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","scalestep","total","cmd","cpu"
,,,0.120,0.150,0.100,10,250,
0.028,0.028,99.333,0.028,0,1127,433,0.120,0.150,0.100,10,250,"pmdaproc",0.057,"missed 4 ticks"
0.127,0.254,99.846,0,0,284,124,0.110,0.140,0.100,10,250,"pmcd",0.127
0,0,99.632,0,0,208,80,0.110,0.140,0.100,10,250,"systemd",0.138
0,0,99.292,0,0,227,70,0.110,0.140,0.100,10,250,"pmdaproc",0.167
0.667,0.111,97.118,0,0,949,351,0.110,0.140,0.100,10,250,"rt-app",1.780
1.120,0.124,95.479,0,0,1574,478,0.110,0.140,0.100,10,250,"rt-app",3.112
1.314,0.292,95.751,0.292,0,1670,436,0.100,0.140,0.100,10,250,"rt-app",3.211
4.600,0,91.574,0,0,2690,567,0.100,0.140,0.100,10,250,"rt-app",7.213
7.150,0,86.671,0,0,2225,436,0.100,0.140,0.100,10,250,"rt-app",12.256
4.445,0.135,87.413,0,0,1868,421,0.100,0.140,0.100,10,250,"rt-app",11.449
1.528,0,91.566,0,0,2159,636,0.100,0.140,0.100,10,250,"rt-app",7.638
0.495,0,95.232,0,0,1400,382,0.090,0.140,0.100,10,250,"rt-app",3.136
0.615,0,95.941,0,0,1898,514,0.090,0.140,0.100,10,250,"rt-app",3.075
2.266,0,87.793,0,0,2454,657,0.090,0.140,0.100,10,250,"rt-app",11.036
