"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_spred-rr.csv -c -y -l --proc-count --top-cpu",,,,"Date:","09 Mar 2025 21:29:22 CDT"
"total usage",,,,,"system",,"load avg",,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","scalestep","total","cmd","cpu"
,,,0.120,0.150,0.100,10,252,
0,0,99.794,0,0,718,251,0.110,0.150,0.100,10,252,"kworker/0:2-events",0.027,"missed 4 ticks"
0.129,0.129,98.759,0.129,0,494,214,0.110,0.150,0.100,10,252,"systemd",0.259
0.196,0.065,99.264,0,0,537,203,0.100,0.140,0.100,10,252,"rt-app",0.261,"missed 2 ticks"
1.522,0,95.136,0,0,1071,259,0.100,0.140,0.100,10,252,"rt-app",3.044
1.001,0,95.563,0,0,2100,491,0.100,0.140,0.100,10,252,"rt-app",3.252
0.998,0.125,95.453,0,0,2129,526,0.100,0.140,0.100,10,252,"rt-app",3.119
4.709,0,91.369,0.091,0,1375,525,0.170,0.160,0.110,10,252,"rt-app",8.150
6.871,0,88.782,0,0,1227,385,0.170,0.160,0.110,10,252,"rt-app",10.907
7.522,0.259,87.668,0.259,0,600,187,0.170,0.160,0.110,10,252,"rt-app",11.672
3.703,0,93.046,0,0,1165,442,0.170,0.160,0.110,10,252,"rt-app",6.481
0.342,0,97.937,0.086,0,536,377,0.170,0.160,0.110,10,252,"rt-app",1.712
1.312,0.437,95.373,0,0,799,154,0.160,0.160,0.100,10,252,"rt-app",3.062
2.427,0,94.074,0,0,1567,553,0.160,0.160,0.100,10,252,"rt-app",4.946
2.983,0,94.430,0,0,800,235,0.160,0.160,0.100,10,252,"rt-app",5.278
7.827,0,87.939,0,0,1351,257,0.160,0.160,0.100,10,252,"rt-app",10.589
5.843,0.087,82.155,0,0,2501,438,0.160,0.160,0.100,10,252,"rt-app",17.007
6.635,0,80.267,0.162,0,1457,279,0.140,0.150,0.100,10,252,"rt-app",18.772
4.402,0.110,85.626,0,0,1558,277,0.140,0.150,0.100,10,252,"rt-app",13.647
3.214,0,88.143,0,0,785,231,0.140,0.150,0.100,10,252,"rt-app",11.018
2.015,0.067,90.345,0,0,1321,541,0.140,0.150,0.100,10,252,"rt-app",9.337,"missed 2 ticks"
0.752,0.050,95.803,0.050,0,1522,735,0.130,0.150,0.100,10,252,"rt-app",3.658,"missed 2 ticks"
1.191,0.079,91.793,0,0,409,247,0.130,0.150,0.100,10,252,"rt-app",7.861,"missed 2 ticks"
5.390,0,89.541,0,0,763,301,0.130,0.150,0.100,10,252,"rt-app",10.481
4.374,0,91.853,0,0,2504,498,0.120,0.150,0.100,10,252,"rt-app",6.998
0.876,0,94.949,0.125,0,2862,525,0.120,0.150,0.100,10,252,"rt-app",3.002
1.125,0.250,95.364,0,0,2703,491,0.120,0.150,0.100,10,252,"rt-app",3.125
5.371,0,90.314,0,0,2975,535,0.120,0.150,0.100,10,252,"rt-app",8.119
9.124,0.118,86.500,0,0,3173,530,0.120,0.150,0.100,10,252,"rt-app",12.205
8.421,0,86.726,0,0,2779,489,0.190,0.160,0.110,10,252,"rt-app",12.066
3.327,0.119,92.442,0,0,2133,517,0.190,0.160,0.110,10,252,"rt-app",6.535
0.966,0.276,94.917,0.138,0,1764,621,0.190,0.160,0.110,10,252,"rt-app",3.035
1.374,0.375,93.046,0,0,2503,752,0.190,0.160,0.110,10,253,"rt-app",
6.247,0,89.962,0,0,3017,595,0.190,0.160,0.110,10,253,"rt-app",8.371
6.152,0.126,81.477,0,0,2649,467,0.180,0.160,0.110,10,253,"rt-app",17.199
3.425,0.122,78.294,0,0,2463,522,0.180,0.160,0.110,10,253,"rt-app",20.675
2.884,0,83.274,0.125,0,2163,505,0.180,0.160,0.110,10,253,"rt-app",15.426
2.264,0.108,86.894,0,0,2267,590,0.180,0.160,0.110,10,253,"rt-app",11.859
2.514,0,87.270,0,0,2116,569,0.180,0.160,0.110,10,253,"rt-app",11.629
3.145,0.137,83.261,0,0,1827,404,0.240,0.170,0.110,10,253,"rt-app",15.586
8.546,0.174,85.109,0,0,2052,353,0.240,0.170,0.110,10,253,"rt-app",13.603
9.068,0,86.024,0.126,0,3001,513,0.240,0.170,0.110,10,253,"rt-app",12.343
7.873,0,87.722,0,0,2838,538,0.240,0.170,0.110,10,253,"rt-app",10.747
1.000,0,95.085,0,0,2709,515,0.240,0.170,0.110,10,253,"rt-app",3.124
1.000,0.250,95.279,0,0,2699,504,0.220,0.170,0.110,10,253,"rt-app",3.126
2.231,0,93.957,0,0,2781,510,0.220,0.170,0.110,10,253,"rt-app",4.834
8.876,0,86.258,0.125,0,2901,500,0.220,0.170,0.110,10,253,"rt-app",12.251
8.578,0.126,86.280,0,0,2913,506,0.220,0.170,0.110,10,253,"rt-app",12.236
8.015,0.123,87.923,0,0,2899,488,0.220,0.170,0.110,10,253,"rt-app",10.728
1.394,0,95.192,0,0,2967,510,0.210,0.170,0.110,10,253,"rt-app",3.169
1.375,0,95.117,0,0,2938,490,0.210,0.170,0.110,10,253,"rt-app",3.250
2.604,0,93.975,0,0,2969,510,0.210,0.170,0.110,10,253,"rt-app",4.587
6.142,0.093,80.958,0.093,0,3167,652,0.210,0.170,0.110,10,253,"rt-app",17.867
4.364,0,78.354,0,0,1446,323,0.210,0.170,0.110,10,253,"rt-app",20.679
3.753,0.125,79.560,0,0,2222,510,0.190,0.160,0.110,10,253,"rt-app",19.014
6.811,0.126,86.645,0.504,0,2627,558,0.190,0.160,0.110,10,253,"rt-app",11.603
8.354,0,86.567,0,0,2789,519,0.190,0.160,0.110,10,253,"rt-app",12.228
