"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_userland_cache.csv -c -y -l -d -g -n -m --proc-count --top-cpu",,,,"Date:","18 Feb 2025 16:23:16 CST"
"total usage",,,,,"system",,"load avg",,,"dsk/total",,"paging",,"net/total",,"memory usage",,,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","dsk/total:read","dsk/total:writ","in","out","net/total:recv","net/total:send","used","free","buf","cach","scalestep","total","cmd","cpu"
,,,28.370,32.440,24.280,,,,,1136216,21211588,71308,925644,10,268,
21.473,9.675,61.351,0,0,7421,560,28.370,32.440,24.280,0,0,0,0,113.263,1929.242,1136404,21211364,71308,925648,10,268,"scx_userland",12.152
19.708,5.124,49.271,0.263,0,4129,379,28.370,32.440,24.280,0,50.453,0,0,126.133,1139.403,1136404,21211364,71316,925640,10,268,"scx_userland",12.219
16.148,4.415,42.262,0,0,2980,391,26.100,31.900,24.150,0,0,0,0,121.110,1094.023,1136396,21211364,71316,925648,10,268,"scx_userland",12.489
26.586,6.897,43.139,0,0,5961,398,26.100,31.900,24.150,0,0,0,0,120.389,1087.513,1136396,21211364,71316,925648,10,268,"scx_userland",12.415
9.686,3.229,43.340,0,0,1954,346,26.100,31.900,24.150,0,0,0,0,119.216,1076.914,1136396,21211364,71316,925648,10,268,"scx_userland",12.418
33.345,10.444,51.843,0,0,8597,651,26.100,31.900,24.150,0,0,0,0,120.798,1091.210,1136636,21211124,71316,925648,10,268,"scx_userland",12.206
34.323,8.178,40.890,0,0,6839,621,26.100,31.900,24.150,0,0,0,0,118.954,1074.551,1136636,21211124,71316,925648,10,268,"scx_userland",12.391
20.421,4.951,30.570,0.124,0,3470,579,24.730,31.520,24.070,0,15.842,0,0,118.813,1073.279,1136628,21211124,71324,925648,10,268,"scx_userland",12.005
25.305,4.681,30.240,0,0,3685,575,24.730,31.520,24.070,0,0,0,0,182.199,1216.684,1136628,21211124,71324,925648,10,268,"scx_userland",12.147
38.127,8.152,29.347,0,0,6793,658,24.730,31.520,24.070,0,0,0,0,120.400,1087.611,1136272,21211480,71324,925648,10,268,"scx_userland",12.040
7.922,1.857,26.986,0.124,0,986,417,24.730,31.520,24.070,0,47.535,0,0,118.837,1073.496,1134576,21213176,71324,925648,10,268,"scx_userland",11.141
26.174,5.311,26.806,0,0,4142,568,24.730,31.520,24.070,0,0,0,0,121.386,1096.517,1133320,21214432,71324,925648,10,268,"scx_userland",11.506
25.092,4.869,23.094,0,0,3461,557,23.470,31.150,23.990,0,0,0,0,119.842,1082.569,1132776,21214976,71324,925648,10,268,"scx_userland",11.859
24.103,5.217,34.746,0,0,4918,816,23.470,31.150,23.990,0,13.356,0,0,429.056,1534.250,1132612,21215132,71332,925648,10,268,"scx_userland",12.104
44.029,9.056,32.632,0.312,0,6543,532,23.470,31.150,23.990,0,0,0,0,74.944,666.999,1132612,21215132,71332,925648,10,268,"scx_userland",12.178
11.145,4.508,56.475,0,0,3254,423,23.470,31.150,23.990,0,0,0,0,120.212,1085.919,1132360,21215384,71332,925648,10,268,"scx_userland",12.021
29.479,9.493,50.590,0,0,7718,443,23.470,31.150,23.990,0,51.964,0,0,119.916,1083.241,1132360,21215384,71332,925648,10,268,"scx_userland",12.491
13.758,4.586,50.752,0,0,4091,476,22.310,30.780,23.910,0,0,0,0,97.835,883.780,1132600,21215144,71332,925648,10,268,"scx_userland",11.924
