"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_userland_memory.csv -c -y -l -d -g -n -m --proc-count --top-cpu",,,,"Date:","18 Feb 2025 16:22:06 CST"
"total usage",,,,,"system",,"load avg",,,"dsk/total",,"paging",,"net/total",,"memory usage",,,,"procs",,"most expensive cpu process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","int","csw","1m","5m","15m","dsk/total:read","dsk/total:writ","in","out","net/total:recv","net/total:send","used","free","buf","cach","scalestep","total","cmd","cpu"
,,,74.170,38.740,25.500,,,,,3253692,19094244,71228,925624,10,275,
1.336,0.486,0,0,0,172,185,74.170,38.740,25.500,0,0,0,0,441.140,2184.326,3254152,19093780,71228,925628,10,275,"stress-ng-memra",12.510
1.242,0.196,0,0,0,235,210,69.200,38.300,25.430,0,0,0,0,125.530,673.680,3254908,19093024,71228,925628,10,275,"stress-ng-memra",12.618
12.244,6.122,0,0,0,98,57,69.200,38.300,25.430,0,0,0,0,0,0,3254908,19093024,71228,925628,10,275,"scx_userland",14.284
3.085,0.578,0.064,0,0,596,275,69.200,38.300,25.430,0,0,0,0,246.772,1192.730,3254908,19093024,71228,925628,10,275,"scx_userland",12.467
28.451,10.346,0,0,0,155,251,69.200,38.300,25.430,0,0,0,0,3724.510,24209.314,3254908,19093024,71228,925628,10,275,"scx_userland",12.932
1.789,0.383,0,0,0,386,171,69.200,38.300,25.430,0,14.314,0,0,61.344,545.961,3254900,19093024,71236,925628,10,275,"scx_userland",12.524
1.327,0.569,0,0,0,102,58,69.200,38.300,25.430,0,0,0,0,182.018,1644.232,3254900,19093024,71236,925628,10,275,"scx_userland",12.514
2.628,0.563,0,0,0,367,152,64.370,37.810,25.340,0,0,0,0,45.045,388.890,3254900,19093024,71236,925628,10,275,"stress-ng-memra",12.575
1.065,0.266,0,0,0,96,74,64.370,37.810,25.340,0,55.365,0,0,191.649,1245.719,3254900,19093024,71236,925628,10,275,"stress-ng-memra",12.644
25.555,10.648,0,0,0,420,273,64.370,37.810,25.340,0,0,0,0,1533.304,10102.770,3271284,19076640,71236,925628,10,275,"stress-ng-memra",11.713
1.078,0.415,0,0,0,197,124,64.370,37.810,25.340,0,0,0,0,39.808,343.677,3271284,19076640,71236,925628,10,275,"scx_userland",12.523
15.952,2.026,0,0,0,723,126,64.370,37.810,25.340,0,0,0,0,243.074,2163.359,3271284,19076640,71236,925628,10,275,"scx_userland",12.660
5.068,0.742,0,0,0,487,121,59.940,37.330,25.250,0,15.823,0,0,118.674,1056.198,3271276,19076640,71244,925628,10,275,"scx_userland",12.485
0.324,0.065,0,0,0,55,94,59.940,37.330,25.250,0,0,0,0,62.121,561.158,3271276,19076640,71244,925628,10,275,"stress-ng-memra",12.683
5.168,1.034,0,0,0,172,71,59.940,37.330,25.250,0,0,0,0,496.089,4415.191,3271276,19076640,71244,925628,10,275,"scx_userland",12.919
4.717,0.590,0,0,0,356,108,59.940,37.330,25.250,0,0,0,0,141.521,1259.536,3271276,19076640,71244,925628,10,275,"stress-ng-memra",12.530
3.854,0.653,0,0,0,685,160,56.260,36.950,25.190,0,0,0,0,62.706,558.085,3270108,19077808,71244,925628,10,275,"stress-ng-memra",12.476
0.412,0.206,0,0,0,35,45,56.260,36.950,25.190,0,0,0,0,98.988,854.594,3266432,19081484,71244,925628,10,275,"scx_userland",12.786
12.187,2.267,0,0,0,515,109,56.260,36.950,25.190,0,36.279,0,0,272.091,2421.606,3266140,19081776,71252,925620,10,275,"stress-ng-memra",13.038
1.243,0.249,0,0,0,155,72,56.260,36.950,25.190,0,0,0,0,179.003,1609.038,3262148,19085768,71252,925620,10,275,"scx_userland",12.555
5.385,0.877,0,0,0,494,154,56.260,36.950,25.190,0,0,0,0,454.877,1290.489,3258944,19088964,71252,925628,10,276,"scx_userland",
0.769,0.449,0,0,0,215,131,52.560,36.500,25.110,0,0,0,0,61.524,547.562,3253896,19094012,71252,925628,10,276,"stress-ng-memra",12.561
23.108,5.333,0,0,0,217,60,52.560,36.500,25.110,0,0,0,0,0,0,3249880,19098028,71252,925628,10,276,"khugepaged",12.443
7.007,1.401,2.930,0,0,707,180,52.560,36.500,25.110,0,0,0,0,305.740,3210.273,3248984,19098924,71252,925628,10,276,"scx_userland",12.484
0.704,0.128,0,0,0,124,107,52.560,36.500,25.110,0,6.141,0,0,30.707,273.293,3248456,19099448,71260,925624,10,276,"scx_userland",12.539
6.873,1.146,0,0,0,98,60,52.560,36.500,25.110,0,36.656,0,0,1099.691,9933.874,3248456,19099448,71260,925624,10,276,"scx_userland",12.601
0.861,0.331,6.624,0,0,200,121,49.550,36.140,25.060,0,0,0,0,31.797,282.993,3248468,19099428,71260,925632,10,276,"scx_userland",12.520
2.337,0.935,0,0,0,114,60,49.550,36.140,25.060,0,912.303,0,0,448.674,3993.195,3248468,19099428,71260,925632,10,276,"stress-ng-memra",12.152
1.086,0.217,0,0,0,190,123,49.550,36.140,25.060,0,0,0,0,69.496,627.779,3248468,19099428,71260,925632,10,276,"scx_userland",12.524
13.460,5.047,0,0,0,101,48,49.550,36.140,25.060,0,0,0,0,1615.161,14374.933,3248468,19099428,71260,925632,10,276,"scx_userland",13.460
2.339,0.325,0,0,0,444,124,49.550,36.140,25.060,0,20.789,0,0,31.183,269.215,3248468,19099428,71260,925632,10,276,"stress-ng-memra",12.538
0.520,0.260,0,0,0,73,70,49.550,36.140,25.060,0,66.536,0,0,249.510,2253.911,3248468,19099428,71268,925624,10,276,"scx_userland",12.476
2.279,0.407,0,0,0,321,121,46.380,35.710,24.970,0,0,0,0,78.129,705.769,3248460,19099428,71268,925632,10,276,"stress-ng-memra",12.452
0.911,0.521,0,0,0,128,76,46.380,35.710,24.970,0,8.330,0,0,124.951,695.562,3249932,19097956,71268,925632,10,276,"scx_userland",12.625
2.821,1.175,0,0,0,237,89,46.380,35.710,24.970,0,0,0,0,338.524,3012.864,3248632,19099256,71268,925632,10,276,"scx_userland",12.460
2.006,0.334,0,0,0,272,99,46.380,35.710,24.970,0,0,0,0,80.232,714.063,3248632,19099256,71268,925632,10,276,"stress-ng-memra",12.620
0.132,0.396,0,0,0,49,62,43.390,35.260,24.890,0,0,0,0,126.643,1127.126,3248632,19099256,71268,925632,10,276,"scx_userland",12.532
